"Terms","Rank","ASIN/ISBN","Rank Type","Date/time Collected","tracking"
"increasing productivity","28","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"increasing productivity","150","0307887898","search","2015-07-10 15:19:24.490292","no"
"increasing productivity","198","038534645X","search","2015-07-10 15:19:24.490292","no"
"increasing productivity","210","0307719227","search","2015-07-10 15:19:24.490292","no"
"decision-making","96","0307956393","search","2015-07-10 15:19:24.490292","no"
"how to be more produtive","1","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"entrepreneurship","2","0307951529","search","2015-07-10 15:19:24.490292","no"
"entrepreneurship","5","0804139296","search","2015-07-10 15:19:24.490292","no"
"entrepreneurship","10","0307887898","search","2015-07-10 15:19:24.490292","no"
"entrepreneurship","128","0307463745","search","2015-07-10 15:19:24.490292","no"
"achieve potential","230","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"data privacy","288","B00M60PIXQ","search","2015-07-10 15:19:24.490292","yes"
"privacy issues","275","B00M60PIXQ","search","2015-07-10 15:19:24.490292","yes"
"work remotely from home","4","B00C0ALZ0W","search","2015-07-10 15:19:24.490292","yes"
"first job after college","10","0804141444","search","2015-07-10 15:19:24.490292","yes"
"first job after college","24","0385346654","search","2015-07-10 15:19:24.490292","yes"
"build a career","62","0553446967","search","2015-07-10 15:19:24.490292","no"
"build a career","89","0307888908","search","2015-07-10 15:19:24.490292","yes"
"build a career","194","0767927672","search","2015-07-10 15:19:24.490292","no"
"unlocking potential","113","038534936X","search","2015-07-10 15:19:24.490292","no"
"unlocking potential","152","B00ALBR6LO","search","2015-07-10 15:19:24.490292","yes"
"reputation rich","1","0385347596","search","2015-07-10 15:19:24.490292","yes"
"reputation rich","86","0307341453","search","2015-07-10 15:19:24.490292","no"
"power of reputation","10","0385347596","search","2015-07-10 15:19:24.490292","yes"
"reputation.com","1","0385347596","search","2015-07-10 15:19:24.490292","yes"
"premonitions","266","B00G1IV9T6","search","2015-07-10 15:19:24.490292","yes"
"Amish quilt","38","0307729958","search","2015-07-10 15:19:24.490292","yes"
"Amish quilt","59","1601427131","search","2015-07-10 15:19:24.490292","yes"
"Amish quilt","61","B0019O6J2E","search","2015-07-10 15:19:24.490292","yes"
"Amish quilt","95","B0019O6J2O","search","2015-07-10 15:19:24.490292","yes"
"Amish quilt","98","B00139XSKQ","search","2015-07-10 15:19:24.490292","yes"
"orchard","213","0307729982","search","2015-07-10 15:19:24.490292","yes"
"orchard","228","0307730042","search","2015-07-10 15:19:24.490292","yes"
"orchard","234","0307730069","search","2015-07-10 15:19:24.490292","yes"
"telecommuting","1","0804137501","search","2015-07-10 15:19:24.490292","yes"
"professional growth","24","B00H6JBFOS","search","2015-07-10 15:19:24.490292","yes"
"professional growth","88","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"professional growth","102","B00BVJG2P6","search","2015-07-10 15:19:24.490292","yes"
"professional growth","135","B0050DIWHU","search","2015-07-10 15:19:24.490292","yes"
"professional growth","261","0307986144","search","2015-07-10 15:19:24.490292","no"
"professional growth","278","B000FCKPO4","search","2015-07-10 15:19:24.490292","no"
"workplace culture","18","0767920570","search","2015-07-10 15:19:24.490292","no"
"workplace culture","233","B00GL3PZ0K","search","2015-07-10 15:19:24.490292","yes"
"workplace culture","272","0307591549","search","2015-07-10 15:19:24.490292","no"
"building a career","32","0307888908","search","2015-07-10 15:19:24.490292","yes"
"building a career","34","0307719561","search","2015-07-10 15:19:24.490292","no"
"building a career","103","0553446967","search","2015-07-10 15:19:24.490292","no"
"trusting relationships","9","0385521332","search","2015-07-10 15:19:24.490292","yes"
"trusting relationships","51","0385346654","search","2015-07-10 15:19:24.490292","yes"
"nature of pressure","4","0804136726","search","2015-07-10 15:19:24.490292","yes"
"adapt to the future","1","0307888908","search","2015-07-10 15:19:24.490292","yes"
"deep relationships","114","0385521332","search","2015-07-10 15:19:24.490292","yes"
"college graduation gift","272","0804141444","search","2015-07-10 15:19:24.490292","yes"
"interview stress","2","B00N6PESWC","search","2015-07-10 15:19:24.490292","yes"
"startup founders","10","0307888908","search","2015-07-10 15:19:24.490292","yes"
"startup founders","13","0307887898","search","2015-07-10 15:19:24.490292","no"
"startup founders","16","0804139296","search","2015-07-10 15:19:24.490292","no"
"power of choice","123","B00G1J1D28","search","2015-07-10 15:19:24.490292","yes"
"power of choice","282","0307719227","search","2015-07-10 15:19:24.490292","no"
"spreading happiness","1","0770436730","search","2015-07-10 15:19:24.490292","yes"
"spreading happiness","3","0307591549","search","2015-07-10 15:19:24.490292","no"
"building trusting relationships","5","0385521332","search","2015-07-10 15:19:24.490292","yes"
"social media mistakes","90","0385347596","search","2015-07-10 15:19:24.490292","yes"
"outside the box thinking","148","0770434002","search","2015-07-10 15:19:24.490292","yes"
